,0,1,2,3
28089,-1.204356,-0.2675059,0.5376607,0.04984224
9080,-0.8361144,0.69842875,0.9542073,-0.5506146
59014,-2.3036776,-2.0120492,1.9382305,-0.33294177
44787,-0.6234206,0.22994733,-1.7975501,0.26662174
76178,1.3903167,-1.3412395,0.80603784,0.67305267
24557,0.57542837,-0.42687324,-0.9326908,0.30755264
39866,1.5543189,0.92592674,0.71718365,0.3871644
17156,-0.9018625,-0.81252784,-0.865307,0.17116258
62026,2.6009192,0.6045121,0.18684974,0.38572812
50131,-2.0300353,1.4360965,-0.79538614,2.2639105
65799,-0.17690548,-0.20095614,-0.30549848,-1.037569
37520,-0.34338558,2.0427022,-2.3652914,0.38018453
45922,-1.1426696,-0.26880273,0.03464361,-1.5359241
46869,0.49408615,1.169421,-1.9130474,-0.016654471
41144,-0.41304827,0.47161046,-0.6113852,-0.16760221
70837,0.9706008,1.3251121,-0.20901686,-0.5098482
40989,-1.6100445,-0.013280541,-0.26515353,-0.24864888
24052,-0.061979502,-0.9836178,-0.35993868,-0.0026958287
32596,-2.946022,4.6431947,1.8887281,2.3844714
75944,-2.322512,-0.14348863,1.7847189,-0.5024014
8185,1.1110821,0.16035914,0.14704853,-1.5716153
28554,1.1301502,1.2410179,0.56333685,0.29003233
49320,-0.013136566,-0.9250392,-0.7111472,1.0452019
47926,-1.0379171,0.9387806,-0.8456268,-0.7314408
2900,-0.8841304,-0.13399497,-0.72212386,-1.0966414
12146,0.5904716,0.20327337,-0.26752537,-0.06345332
61040,3.4560351,0.9321873,-0.49953437,0.91199666
3786,0.21748145,-0.62091166,-0.5381813,-0.19032748
58650,1.5855094,-1.4462605,-1.0419221,1.716505
25747,3.1375103,-1.2321947,0.7482517,1.3152089
19300,-0.00064972043,-0.80949104,-0.35351056,0.19365543
55114,1.0246937,-1.7968674,-0.08849418,1.0080637
73281,0.060048044,0.3964905,2.8892488,0.4729368
15071,0.536241,0.89727515,0.6322045,-0.6449823
8773,0.10744429,1.1795979,1.1954671,-0.1095466
59680,-0.2428118,-2.3584893,0.64638436,-0.93298274
52773,0.08761746,-2.596527,0.05641848,0.06574237
64175,1.1745026,-0.82937384,0.5040177,-0.5332998
56627,-0.06658673,-1.7780974,-0.55430007,-0.42624176
47066,-0.5435681,-0.0036330298,-0.19150756,-0.8906566
3658,-0.94309837,-0.91697824,-1.3459312,-0.18309748
70356,2.0785558,1.2745668,0.5924348,1.1939616
24773,0.07829803,-1.1859534,-0.24852788,-0.25703737
63074,0.5314096,-1.2397662,1.4189348,-1.1454884
22889,-0.11815596,-0.2481408,0.30870005,-0.7342819
13136,1.6098528,0.50799483,0.07819396,-0.73588395
32436,0.1258507,-0.078042716,-0.4522787,0.43987423
29715,-0.40510622,-1.5446749,-0.7401358,0.3388977
64861,0.34575182,-1.5344715,0.39906505,-0.08934498
65101,-1.994183,-0.4020908,2.0946507,0.0075709485
17513,-0.28552577,-1.1745251,-0.9824912,0.22769442
49046,0.3698305,-1.0532438,0.3989358,-0.48463407
52789,0.10300225,-2.6692414,0.03290409,0.16291791
41696,-0.49808127,0.10710156,0.40729016,-1.0178734
49382,2.67712,0.9274776,-0.5375625,1.4233252
72704,-0.4840598,-1.0352795,0.9925697,0.3149907
46850,0.51312083,1.1858021,-1.8972068,-0.024058215
6398,1.7748187,0.27497053,0.10231024,-0.87079364
67191,1.2628529,-1.4387076,-0.7228241,0.4570576
69902,0.06944299,-0.0757373,2.0362325,-0.9686955
