,PTA.X1311.PV
28089,0.08
9080,0.1
59014,0.08
44787,0.08
76178,0.08
24557,0.09
39866,0.08
17156,0.09
62026,0.08
50131,0.08
65799,0.08
37520,0.09
45922,0.09
46869,0.08
41144,0.09
70837,0.08
40989,0.09
24052,0.1
32596,0.09
75944,0.09
8185,0.1
28554,0.08
49320,0.08
47926,0.09
2900,0.1
12146,0.09
61040,0.08
3786,0.09
58650,0.08
25747,0.08
19300,0.1
55114,0.08
73281,0.08
15071,0.1
8773,0.09
59680,0.1
52773,0.08
64175,0.08
56627,0.09
47066,0.09
3658,0.1
70356,0.09
24773,0.09
63074,0.08
22889,0.11
13136,0.09
32436,0.08
29715,0.08
64861,0.08
65101,0.08
17513,0.1
49046,0.08
52789,0.08
41696,0.08
49382,0.08
72704,0.08
46850,0.08
6398,0.1
67191,0.09
69902,0.07
57816,0.08
66892,0.08
68110,0.07
33528,0.1
34385,0.09
14017,0.09
30994,0.08
7716,0.1
11714,0.1
32893,0.09
50469,0.08
69687,0.08
40764,0.09
29158,0.08
6757,0.1
6680,0.09
54028,0.08
60567,0.08
39147,0.08
56706,0.08
45088,0.09
64446,0.08
6653,0.1
67142,0.08
54464,0.08
1180,0.1
10339,0.1
26788,0.09
52715,0.08
51351,0.08
44108,0.09
37666,0.0
11397,0.1
26278,0.08
17420,0.1
70652,0.09
65602,0.08
64525,0.08
37817,0.09
57960,0.08
6943,0.09
6284,0.1
46628,0.09
27976,0.08
63378,0.08
37196,0.09
6703,0.09
10801,0.1
59167,0.08
29052,0.08
33681,0.09
9830,0.09
8366,0.09
24420,0.09
13761,0.1
16453,0.09
68750,0.08
26599,0.09
56865,0.1
8629,0.09
47479,0.08
35482,0.09
17229,0.1
19827,0.1
59538,0.08
72739,0.08
67558,0.09
73382,0.08
15911,0.1
16302,0.09
6296,0.1
32485,0.1
12646,0.09
53372,0.08
11017,0.1
8328,0.09
74618,0.09
40883,0.09
48293,0.08
5966,0.1
36409,0.09
21901,0.1
65765,0.09
15585,0.1
26670,0.08
42174,0.09
72468,0.08
181,0.1
17153,0.09
9329,0.09
26901,0.08
66497,0.08
55182,0.08
74231,0.08
5551,0.09
62488,0.07
40554,0.08
27668,0.08
5919,0.1
26204,0.09
74282,0.08
380,0.09
29953,0.08
28999,0.08
75629,0.08
50185,0.08
40945,0.09
962,0.1
11215,0.09
58152,0.08
24041,0.1
10763,0.1
70165,0.08
26883,0.09
58718,0.08
73242,0.08
13538,0.1
69617,0.08
47611,0.08
23995,0.1
74838,0.12
44658,0.09
42381,0.09
55920,0.08
6033,0.1
57288,0.08
40952,0.09
37704,0.08
17463,0.1
17426,0.1
58644,0.08
32934,0.09
22517,0.09
75465,0.08
26984,0.09
24655,0.09
74415,0.08
25325,0.08
62204,0.07
37688,0.09
37331,0.09
62502,0.08
39931,0.08
12325,0.09
41459,0.09
29529,0.08
26325,0.08
36886,0.09
20823,0.1
54062,0.08
10008,0.09
70435,0.08
31722,0.08
32949,0.09
36208,0.09
23521,0.09
13155,0.09
9301,0.09
18349,0.1
44639,0.09
5163,0.1
10956,0.1
9284,0.09
22737,0.09
57735,0.08
24654,0.09
21847,0.1
17273,0.1
42899,0.08
38082,0.08
19821,0.1
13856,0.1
55558,0.08
19599,0.1
75299,0.08
51954,0.08
72501,0.08
10097,0.1
59674,0.1
67945,0.08
74298,0.08
32860,0.09
29085,0.08
8087,0.1
16159,0.09
70806,0.08
39957,0.08
38890,0.76
13631,0.1
44195,0.08
63191,0.08
8119,0.09
32561,0.09
61934,0.08
8807,0.09
66328,0.08
11005,0.1
52340,0.07
45590,0.09
38091,0.08
36040,0.09
29891,0.08
31422,0.08
9675,0.09
54177,0.08
11490,0.09
14614,0.1
38081,0.08
29289,0.08
8252,0.1
64646,0.09
37152,0.09
14448,0.1
70868,0.08
11127,0.09
23702,0.1
1503,0.1
36923,0.09
53577,0.08
16406,0.1
20057,0.09
31166,0.08
16844,0.1
38171,0.08
13800,0.1
56552,0.09
72189,0.08
68434,0.07
42974,0.09
39507,0.08
5590,0.09
13524,0.1
39869,0.08
23964,0.1
23480,0.09
59311,0.08
464,0.09
44999,0.09
73796,0.08
23051,0.1
1702,0.1
2545,0.11
44169,0.09
46930,0.08
40453,0.08
51825,0.08
71512,0.08
31080,0.08
10156,0.09
46773,0.08
6691,0.09
11732,0.1
23961,0.1
72474,0.08
50596,0.07
61957,0.08
20762,0.1
5524,0.09
69432,0.07
31285,0.08
76493,0.09
6540,0.1
66565,0.09
63369,0.08
63576,0.08
72386,0.08
41898,0.09
37257,0.09
72342,0.08
8828,0.09
15748,0.1
8325,0.09
21547,0.09
11987,0.1
14952,0.1
34031,0.09
66896,0.08
24929,0.09
35332,0.09
47778,0.08
54899,0.08
52713,0.08
38289,0.08
68647,0.07
54227,0.08
61751,0.08
8193,0.09
1648,0.09
18612,0.09
64124,0.08
43079,0.09
69273,0.08
5940,0.1
70097,0.08
60617,0.07
29696,0.08
68378,0.07
1066,0.1
17179,0.09
22900,0.09
17773,0.1
63070,0.08
3614,0.1
40788,0.09
74662,0.08
3858,0.1
48805,0.08
17444,0.1
33316,0.09
24865,0.1
70917,0.1
15637,0.1
64711,0.09
71365,0.07
61740,0.08
42142,0.09
27172,0.08
36474,0.09
51445,0.08
3544,0.1
66748,0.08
5878,0.11
30071,0.08
30248,0.08
3587,0.09
50241,0.08
74615,0.09
29443,0.08
40476,0.08
38710,0.08
39786,0.08
729,0.1
3509,0.1
45998,0.09
10664,0.1
54609,0.08
48928,0.08
38854,0.07
32844,0.09
38794,0.08
23767,0.1
67346,0.08
51853,0.08
63884,0.08
48271,0.08
28605,0.08
43905,0.09
37867,0.08
12052,0.1
74394,0.08
34711,0.08
12863,0.09
11710,0.09
36512,0.09
5563,0.09
41210,0.08
37815,0.09
55790,0.08
18122,0.1
34722,0.08
30444,0.07
46440,0.08
29946,0.08
51291,0.08
13932,0.1
20504,0.1
41523,0.09
71962,0.08
61734,0.08
25116,0.08
40019,0.08
